time,x,y,z,yaw,pitch,roll
0,-50.5773,-17.3096,2.25011e-08,1.60354,-1.31364e-08,-5.49188e-09
0.1,-50.6362,-15.5105,7.59992e-09,1.60354,-1.31364e-08,-5.49187e-09
0.2,-50.6952,-13.7115,7.59992e-09,1.60354,-1.31364e-08,-5.49187e-09
0.3,-50.7541,-11.9125,1.46025e-08,1.60354,2.25087e-14,1.09838e-08
0.4,-50.813,-10.1134,2.25011e-08,1.60354,-1.31364e-08,-5.49188e-09
0.5,-50.872,-8.3144,2.25011e-08,1.60354,-1.31364e-08,-5.49188e-09
0.6,-50.9309,-6.51537,7.59992e-09,1.60354,-1.31364e-08,-5.49187e-09
0.7,-50.9898,-4.71633,7.59992e-09,1.60354,-1.31364e-08,-5.49187e-09
0.8,-51.0487,-2.9173,-1.46025e-08,1.60354,-2.25087e-14,-1.09838e-08
0.9,-51.1077,-1.11826,-1.51998e-08,1.60354,2.62728e-08,1.09838e-08
1,-51.1666,0.680774,-1.51998e-08,1.60354,2.62728e-08,1.09838e-08
1.1,-51.2255,2.47981,1.46025e-08,1.60354,2.62728e-08,1.09837e-08
1.2,-51.2844,4.27884,2.98023e-08,1.60354,5.2426e-22,1.38615e-23
1.3,-51.3434,6.07788,1.51998e-08,1.60354,-2.25087e-14,-1.09838e-08
1.4,-51.4023,7.87691,0,1.60354,-0,0
1.5,-51.4612,9.67595,0,1.60354,-0,0
1.6,-51.5202,11.475,0,1.60354,-0,0
1.7,-51.5791,13.274,0,1.60354,-0,0
1.8,-51.638,15.0731,-1.46025e-08,1.60354,-2.25087e-14,-1.09838e-08
1.9,-51.6969,16.8721,-1.51998e-08,1.60354,-2.62727e-08,1.09837e-08
2,-51.7559,18.6711,-1.51998e-08,1.60354,-2.62727e-08,1.09837e-08
2.1,-51.8148,20.4702,1.46025e-08,1.60354,-2.62727e-08,1.09838e-08
2.2,-51.8737,22.2692,1.51998e-08,1.60354,-2.25087e-14,-1.09838e-08
2.3,-51.9326,24.0682,1.51998e-08,1.60354,-2.25087e-14,-1.09838e-08
2.4,-51.9916,25.8673,0,1.60354,-0,0
2.5,-52.0505,27.6663,0,1.60354,-0,0
2.6,-52.1094,29.4653,0,1.60354,-0,0
2.7,-52.1683,31.2644,0,1.60354,-0,0
2.8,-52.2273,33.0634,0,1.60354,-0,0
2.9,-52.2862,34.8624,0,1.60354,-0,0
3,-52.3451,36.6615,0,1.60354,-0,0
3.1,-52.4041,38.4605,0,1.60354,-0,0
3.2,-52.463,40.2595,0,1.60354,-0,0
